Top pages,Clicks,Impressions,CTR,Position
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026,10733,410776,2.61%,5.3
https://www.hopehospital.com/blog/ayushman-bharat-hospitals-nagpur,866,33092,2.62%,5.78
https://www.hopehospital.com/,706,34089,2.07%,8.22
https://www.hopehospital.com/contact,156,5942,2.63%,4.76
https://www.hopehospital.com/departments/nephrology,98,14226,0.69%,8.29
https://www.hopehospital.com/doctors/dr-bk-murali,95,2790,3.41%,4.31
https://www.hopehospital.com/doctors/dr-nikhil-khobragade,90,2562,3.51%,5.37
https://www.hopehospital.com/about,54,5940,0.91%,7.48
https://www.hopehospital.com/blog/rirs-surgery-nagpur-kidney-stones-2026,49,3213,1.53%,5.93
https://www.hopehospital.com/doctors/dr-dheeraj-gupta,35,986,3.55%,5.83
https://www.hopehospital.com/doctors,26,2269,1.15%,5.52
https://www.hopehospital.com/blog/best-heart-hospital-nagpur,19,2713,0.7%,8.22
https://www.hopehospital.com/doctors/dr-jayant-nikose,18,1890,0.95%,7.91
https://www.hopehospital.com/blog/choosing-best-hospital-in-nagpur,13,2737,0.47%,4.9
https://www.hopehospital.com/hospitals,11,2392,0.46%,5.77
https://www.hopehospital.com/departments/orthopedics,10,909,1.1%,10.51
https://www.hopehospital.com/blog/knee-replacement-surgery-nagpur-guide,9,866,1.04%,8.89
https://www.hopehospital.com/departments/cardiology,9,718,1.25%,9.61
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#what-is,7,45937,0.02%,6.45
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#orthopedics,6,43768,0.01%,6.45
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#eligibility,6,30753,0.02%,6.62
https://www.hopehospital.com/departments/oncology,6,1542,0.39%,16.52
https://www.hopehospital.com/departments/gastroenterology,6,1365,0.44%,14.29
https://www.hopehospital.com/doctors/dr-vinod-borkar,5,127,3.94%,6.06
https://www.hopehospital.com/empanelments,4,715,0.56%,16.17
https://www.hopehospital.com/departments/neurosurgery,4,617,0.65%,9.59
https://www.hopehospital.com/gallery,4,214,1.87%,4.34
https://www.hopehospital.com/diseases/heart-attack,3,443,0.68%,6.11
https://www.hopehospital.com/services/laparoscopic-surgery-nagpur,3,417,0.72%,7.37
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#nephrology,2,38239,0.01%,6.61
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#cardiology,2,34290,0.01%,6.38
https://www.hopehospital.com/diseases/gallbladder-stones,2,955,0.21%,3.83
https://www.hopehospital.com/diseases/back-pain,2,610,0.33%,3.87
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#get-card,1,40781,0%,6.48
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#documents,1,27531,0%,6.89
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#oncology,1,17628,0.01%,6.32
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#obgyn,1,1564,0.06%,6.32
https://www.hopehospital.com/diseases/hypertension,1,1004,0.1%,10.97
https://www.hopehospital.com/departments/critical-care,1,874,0.11%,9.24
