Top queries,Clicks,Impressions,CTR,Position
ayushman bharat package list pdf 2026,642,4067,15.79%,3.01
hope hospital nagpur,432,2274,19%,1.01
ayushman package list 2026,173,1025,16.88%,2.34
ayushman bharat package list pdf 2026 pdf download,131,807,16.23%,3.04
pmjay package list 2026,127,295,43.05%,1.41
mjpjay new package list 2026,109,670,16.27%,2.87
ayushman card hospital list in nagpur,93,4006,2.32%,5.2
ayushman rate list 2026,91,316,28.8%,2.69
ayushman card surgery list,75,867,8.65%,3.39
ayushman bharat rate list 2026,68,206,33.01%,1.72
ayushman bharat package list pdf,66,1544,4.27%,6.16
ayushman bharat surgery list,57,860,6.63%,4.08
hope hospital nagpur contact number,57,181,31.49%,1.01
ayushman bharat package list pdf 2026 maharashtra,48,194,24.74%,2.1
ayushman bharat package list pdf 2026 west bengal,47,347,13.54%,2.83
ayushman package list,37,1651,2.24%,7.12
ayushman package list 2026 pdf download,37,141,26.24%,2.3
pmjay package list,35,576,6.08%,4.72
ayushman bharat package list,33,380,8.68%,5.32
hope hospital,30,3314,0.91%,10.17
pmjay package list maharashtra,30,130,23.08%,2.78
mjpjay package list,28,486,5.76%,5.99
pmjay new list 2026,26,431,6.03%,4.08
ayushman bharat package list pdf download,24,818,2.93%,7.42
hope hospital teka naka nagpur,23,136,16.91%,1.08
hope multispeciality hospital nagpur,23,75,30.67%,1.01
ayushman card package list,22,425,5.18%,5.43
ayushman bharat west bengal,21,638,3.29%,3.77
ayushman bharat surgery rate list,21,339,6.19%,2.73
pmjay surgery list,21,188,11.17%,2.83
ayushman card operation list,20,511,3.91%,4.69
ayushman bharat package rate list,20,415,4.82%,4.88
ayushman rate list,19,186,10.22%,5.09
ayushman bharat rate list,18,194,9.28%,5.54
pmjay rate list,18,142,12.68%,4.09
pmjay surgery package list,17,78,21.79%,3.37
ayushman bharat package list pdf 2026 uttar pradesh,14,304,4.61%,5.31
pmjay new list 2026 pdf download,14,106,13.21%,3.42
latest ayushman package list,13,376,3.46%,5.8
pmjay package list pdf,13,194,6.7%,6.12
ayushman bharat surgery package list,13,143,9.09%,4.4
pmjay procedure list,13,68,19.12%,3.69
dr nikhil khobragade nagpur,12,165,7.27%,3.68
ayushman card hospital list nagpur,11,326,3.37%,6.18
ayushman bharat hospital list nagpur,11,220,5%,6.16
ayushman card hospital list in nagpur 2026,11,135,8.15%,2.33
ayushman hospital nagpur list,11,126,8.73%,5.92
pmjay,10,339,2.95%,5.01
pmjay package rate list,10,147,6.8%,3.99
ayushman bharat orthopedic package list,10,119,8.4%,5.29
pm jay package list,10,76,13.16%,4.28
ayushman package master 2026,10,38,26.32%,1.82
nephrologist in nagpur,9,1089,0.83%,7.83
ayushman package,9,707,1.27%,7.84
ayushman bharat package,9,240,3.75%,7.14
mjpjay surgery list pdf,9,218,4.13%,3.27
ayushman ortho package list,9,213,4.23%,6.23
pmjay orthopedic package list,9,71,12.68%,4.35
laparoscopic surgery covered in ayushman card,9,67,13.43%,1.6
mjpjay new package list 2026 pdf download,9,59,15.25%,1.85
list of diseases covered under ayushman bharat pdf,8,722,1.11%,9.42
आयुष्मान कार्ड हॉस्पिटल लिस्ट नागपुर महाराष्ट्र,8,237,3.38%,6.31
mjpjay package list pdf,8,181,4.42%,6.48
nagpur ayushman card hospital list,8,174,4.6%,4.64
pmjay package list gujarat,8,137,5.84%,6.4
hernia operation in ayushman card,8,119,6.72%,3.81
mjpjay package list new,8,111,7.21%,4.22
ayushman card,7,372,1.88%,4.16
नागपुर में आयुष्मान कार्ड हॉस्पिटल लिस्ट,7,266,2.63%,6.5
ayushman card nagpur hospital list,7,192,3.65%,5.31
is knee replacement covered in ayushman card,7,183,3.83%,4.64
ayushman card hospital list nagpur pdf,7,164,4.27%,9.37
ayushman bharat package list pdf mp,7,147,4.76%,5.76
ayushman bharat cataract surgery package,7,118,5.93%,4.09
pmjay covered diseases list,7,116,6.03%,5.41
nagpur ayushman hospital list,7,63,11.11%,5.41
ayushman bharat nagpur hospital list,7,33,21.21%,4.42
ayushman card treatment list,6,684,0.88%,8.07
pmjay code list,6,344,1.74%,6.55
piles operation in ayushman card,6,196,3.06%,4.46
ayushman bharat operation list,6,124,4.84%,2.95
list of diseases covered under ayushman bharat pdf maharashtra,6,99,6.06%,5.36
ayushman card hospital in nagpur,6,95,6.32%,5.23
pmjay packages,6,79,7.59%,6.16
ayushman bharat package list pdf 2026 bihar,6,63,9.52%,2.98
hernia surgery cost in government hospital,6,50,12%,2.38
angioplasty cost in ayushman card,6,36,16.67%,3.06
ayushman bharat package list pdf 2026 gujarat,6,32,18.75%,3.16
ayushman bharat package list west bengal,6,28,21.43%,2.89
ayushman card bimari list pdf,5,638,0.78%,9.13
pmjay hospital list nagpur,5,471,1.06%,8.01
ayushman package code list,5,303,1.65%,8.44
ayushman bharat treatment list,5,266,1.88%,7.41
आयुष्मान हॉस्पिटल नागपुर,5,220,2.27%,7.01
ayushman card knee replacement,5,201,2.49%,5.35
appendix operation in ayushman card,5,181,2.76%,6.82
knee replacement in ayushman card,5,176,2.84%,6.3
mjpjay hospital list nagpur,5,170,2.94%,4.85
knee replacement surgery cost in ayushman card,5,150,3.33%,4.02
आयुष्मान कार्ड हॉस्पिटल लिस्ट nagpur,5,138,3.62%,6.15
ayushman bharat package list pdf odisha,5,102,4.9%,6.41
ayushman bharat knee replacement package,5,87,5.75%,3.45
ayushman card heart hospital list in nagpur,5,83,6.02%,5.49
dialysis package in ayushman bharat,5,82,6.1%,4.27
ayushman surgery list,5,70,7.14%,4.21
ayushman bharat package list pdf maharashtra,5,67,7.46%,4.63
ayushman procedure list,5,64,7.81%,4.77
ayushman new list 2026,5,63,7.94%,4.44
hip replacement surgery cost in government hospital,5,59,8.47%,3.95
ayushman bharat ophthalmology package list,5,57,8.77%,7
hospitals in nagpur,5,56,8.93%,46.7
laparoscopic surgery ayushman card,5,51,9.8%,2.33
knee replacement surgery cost in govt hospital,5,48,10.42%,2.4
list of surgery in ayushman card,5,35,14.29%,2.43
laparoscopic surgery under ayushman bharat scheme,5,34,14.71%,1.56
pmjay packages list,5,33,15.15%,5.55
ayushman bharat west bengal package list,5,23,21.74%,2.83
pmjay list of surgery,5,15,33.33%,1.27
ayushman card cover treatment list,4,387,1.03%,7.4
ayushman code list,4,261,1.53%,8.42
kidney stone operation in ayushman card,4,216,1.85%,6.1
ayushman card hospital list,4,216,1.85%,6.59
pmjay 2026 list,4,197,2.03%,4.81
ayushman card surgery list pdf,4,195,2.05%,7.41
hope hospital contact number,4,184,2.17%,7.59
ayushman card knee replacement age limit,4,178,2.25%,5.47
is angioplasty covered in ayushman card,4,115,3.48%,3.28
dr dhiraj gupta,4,107,3.74%,4.75
cataract surgery in ayushman card,4,105,3.81%,8.3
list of diseases covered under ayushman bharat,4,98,4.08%,6.3
nikhil khobragade nagpur,4,94,4.26%,3.69
package master pmjay,4,84,4.76%,6.31
