Date,Clicks,Impressions,CTR,Position
2026-05-12,5,267,1.87%,8.2
2026-05-13,4,297,1.35%,8.7
2026-05-14,7,374,1.87%,8
2026-05-15,15,522,2.87%,8.1
2026-05-16,20,775,2.58%,8
2026-05-17,30,814,3.69%,9.4
2026-05-18,28,952,2.94%,7.3
2026-05-19,27,1005,2.69%,9.3
2026-05-20,31,981,3.16%,7.3
2026-05-21,31,1130,2.74%,7.7
2026-05-22,32,1673,1.91%,8.1
2026-05-23,41,1948,2.1%,7.6
2026-05-24,34,1735,1.96%,7
2026-05-25,44,2044,2.15%,6.9
2026-05-26,67,2204,3.04%,6.8
2026-05-27,67,2596,2.58%,7
2026-05-28,55,2544,2.16%,6.7
2026-05-29,56,2438,2.3%,7.2
2026-05-30,54,2365,2.28%,6.5
2026-05-31,54,2139,2.52%,6.8
2026-06-01,81,2746,2.95%,6.7
2026-06-02,76,2708,2.81%,6.5
2026-06-03,58,2792,2.08%,6.9
2026-06-04,64,3060,2.09%,6.7
2026-06-05,72,3253,2.21%,7.4
2026-06-06,78,3727,2.09%,6.5
2026-06-07,82,3871,2.12%,6.5
2026-06-08,123,4897,2.51%,6.6
2026-06-09,135,5045,2.68%,6.4
2026-06-10,123,4839,2.54%,6
2026-06-11,149,5137,2.9%,6
2026-06-12,119,5271,2.26%,5.9
2026-06-13,101,4591,2.2%,6.1
2026-06-14,115,5084,2.26%,5.7
2026-06-15,158,6226,2.54%,5.5
2026-06-16,134,5888,2.28%,5.7
2026-06-17,143,5899,2.42%,5.8
2026-06-18,136,6118,2.22%,6
2026-06-19,170,5586,3.04%,5.9
2026-06-20,127,5426,2.34%,6
2026-06-21,117,5113,2.29%,5.8
2026-06-22,168,6437,2.61%,5.9
2026-06-23,155,6252,2.48%,5.7
2026-06-24,157,6094,2.58%,5.5
2026-06-25,182,6619,2.75%,5.4
2026-06-26,189,6605,2.86%,5.5
2026-06-27,172,6131,2.81%,5.6
2026-06-28,148,5899,2.51%,5.5
2026-06-29,190,6721,2.83%,5.4
2026-06-30,151,6845,2.21%,5.6
2026-07-01,188,7255,2.59%,5.4
2026-07-02,208,7560,2.75%,5.4
2026-07-03,206,7116,2.89%,5.5
2026-07-04,159,6387,2.49%,5.5
2026-07-05,164,6234,2.63%,5.3
2026-07-06,195,8092,2.41%,5.6
2026-07-07,186,7136,2.61%,5.2
2026-07-08,186,7591,2.45%,5.2
2026-07-09,190,7464,2.55%,5.1
2026-07-10,208,7569,2.75%,5.4
2026-07-11,189,7026,2.69%,5.4
2026-07-12,159,7151,2.22%,5.3
2026-07-13,212,8314,2.55%,5.4
2026-07-14,234,8053,2.91%,5.4
2026-07-15,196,7655,2.56%,5.5
2026-07-16,193,7680,2.51%,5.4
2026-07-17,179,7559,2.37%,5.5
2026-07-18,172,6623,2.6%,5.4
2026-07-19,160,5994,2.67%,5.4
2026-07-20,172,7308,2.35%,5.4
2026-07-21,172,6872,2.5%,5.7
2026-07-22,171,6836,2.5%,5.6
2026-07-23,197,6964,2.83%,5.5
2026-07-24,147,6625,2.22%,5.8
2026-07-25,160,6308,2.54%,5.9
2026-07-26,140,6280,2.23%,6.1
2026-07-27,179,7518,2.38%,5.8
2026-07-28,205,7291,2.81%,6
2026-07-29,173,7323,2.36%,5.7
2026-07-30,182,7633,2.38%,5.8
2026-07-31,179,7047,2.54%,6
2026-08-01,160,6810,2.35%,6
2026-08-02,148,6411,2.31%,5.8
2026-08-03,179,7689,2.33%,5.8
2026-08-04,186,7325,2.54%,5.7
2026-08-05,213,7347,2.9%,5.7
2026-08-06,192,7146,2.69%,5.7
2026-08-07,188,7011,2.68%,5.7
2026-08-08,180,7046,2.55%,5.6
2026-08-09,175,6810,2.57%,5.7
2026-08-10,214,8586,2.49%,5.5
2026-08-11,176,8284,2.12%,5.6
