Top pages,Clicks,Impressions,CTR,Position
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026,10097,384999,2.62%,5.28
https://www.hopehospital.com/blog/ayushman-bharat-hospitals-nagpur,790,30623,2.58%,5.77
https://www.hopehospital.com/,690,33094,2.08%,8.22
https://www.hopehospital.com/contact,150,5854,2.56%,4.75
https://www.hopehospital.com/doctors/dr-bk-murali,90,2599,3.46%,4.33
https://www.hopehospital.com/departments/nephrology,88,13372,0.66%,8.29
https://www.hopehospital.com/doctors/dr-nikhil-khobragade,88,2424,3.63%,5.33
https://www.hopehospital.com/about,50,5735,0.87%,7.37
https://www.hopehospital.com/blog/rirs-surgery-nagpur-kidney-stones-2026,46,2989,1.54%,5.8
https://www.hopehospital.com/doctors/dr-dheeraj-gupta,34,925,3.68%,5.79
https://www.hopehospital.com/doctors,24,2106,1.14%,5.54
https://www.hopehospital.com/blog/best-heart-hospital-nagpur,19,2484,0.76%,8.12
https://www.hopehospital.com/doctors/dr-jayant-nikose,18,1759,1.02%,7.82
https://www.hopehospital.com/blog/choosing-best-hospital-in-nagpur,12,2664,0.45%,4.99
https://www.hopehospital.com/hospitals,11,2383,0.46%,5.51
https://www.hopehospital.com/blog/knee-replacement-surgery-nagpur-guide,9,810,1.11%,8.91
https://www.hopehospital.com/departments/orthopedics,8,885,0.9%,10.51
https://www.hopehospital.com/departments/cardiology,8,712,1.12%,9.38
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#what-is,6,42265,0.01%,6.52
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#eligibility,6,29178,0.02%,6.66
https://www.hopehospital.com/departments/oncology,6,1437,0.42%,16.51
https://www.hopehospital.com/departments/gastroenterology,6,1358,0.44%,14.32
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#orthopedics,5,40340,0.01%,6.52
https://www.hopehospital.com/doctors/dr-vinod-borkar,5,120,4.17%,5.82
https://www.hopehospital.com/empanelments,4,682,0.59%,14.34
https://www.hopehospital.com/departments/neurosurgery,4,632,0.63%,9.77
https://www.hopehospital.com/gallery,4,230,1.74%,4.53
https://www.hopehospital.com/services/laparoscopic-surgery-nagpur,3,354,0.85%,7.06
https://www.hopehospital.com/diseases/heart-attack,3,340,0.88%,3.94
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#nephrology,2,35311,0.01%,6.66
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#cardiology,2,31552,0.01%,6.45
https://www.hopehospital.com/diseases/gallbladder-stones,2,844,0.24%,3.39
https://www.hopehospital.com/diseases/back-pain,2,572,0.35%,3.56
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#get-card,1,37206,0%,6.56
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#documents,1,25105,0%,6.97
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#oncology,1,17113,0.01%,6.34
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#obgyn,1,1428,0.07%,6.39
https://www.hopehospital.com/departments/critical-care,1,842,0.12%,9.39
https://www.hopehospital.com/diseases/hypertension,1,829,0.12%,11.82
https://www.hopehospital.com/departments,1,736,0.14%,4.77
https://www.hopehospital.com/diseases/kidney-stones,1,468,0.21%,14.26
https://www.hopehospital.com/blog/heavy-rain-health-risks-nagpur-2026,1,91,1.1%,8.31
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#pediatric,0,5105,0%,7.85
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#gastro,0,4305,0%,6.95
https://www.hopehospital.com/blog/ayushman-bharat-surgery-list-2026#neuro,0,607,0%,6.84
https://www.hopehospital.com/diseases/stroke,0,574,0%,2.62
https://www.hopehospital.com/blog,0,102,0%,7.47
https://www.hopehospital.com/blog/hope-hospital-nagpur-press-release-2026,0,79,0%,8
https://www.hopehospital.com/departments/colorectal-surgery,0,77,0%,7.04
https://www.hopehospital.com/blog/hip-replacement-when-do-you-need-it,0,71,0%,14.52
https://www.hopehospital.com/cataract-surgery-at-lowest-cost-in-nagpur/,0,43,0%,13.28
https://www.hopehospital.com/blog/choosing-best-hospital-in-nagpur.html,0,30,0%,3.4
https://www.hopehospital.com/departments/mother-child-care,0,25,0%,6
https://www.hopehospital.com/blog/monsoon-fever-dengue-nagpur-2026,0,23,0%,7.35
https://www.hopehospital.com/blog/knee-replacement-surgery-nagpur-guide.html,0,21,0%,1.14
https://www.hopehospital.com/blog/rirs-surgery-nagpur-kidney-stones-2026#comparison,0,3,0%,5
https://www.hopehospital.com/blog/rirs-surgery-nagpur-kidney-stones-2026#free-rirs,0,3,0%,5
https://www.hopehospital.com/blog/rirs-surgery-nagpur-kidney-stones-2026#summer-stones,0,3,0%,5
https://www.hopehospital.com/blog/rirs-surgery-nagpur-kidney-stones-2026#warning-signs,0,3,0%,5
https://www.hopehospital.com/blog/rirs-surgery-nagpur-kidney-stones-2026#what-is-rirs,0,3,0%,5
https://www.hopehospital.com/departments/minimal-invasive-surgery,0,3,0%,16.33
https://www.hopehospital.com/blog/ayushman-surgery-list-2026,0,2,0%,1
https://www.hopehospital.com/blog/hope-hospital-surgery-list-2026,0,1,0%,1
https://www.hopehospital.com/blog/hope-hospital/blog/ayushman-bharat-surgery-list-2026,0,1,0%,1
