Top queries,Clicks,Impressions,CTR,Position
ayushman bharat package list pdf 2026,608,3900,15.59%,3.05
hope hospital nagpur,412,2228,18.49%,1.01
ayushman package list 2026,165,986,16.73%,2.39
pmjay package list 2026,121,276,43.84%,1.43
ayushman bharat package list pdf 2026 pdf download,119,750,15.87%,3.13
mjpjay new package list 2026,104,644,16.15%,2.94
ayushman card hospital list in nagpur,90,3733,2.41%,5.3
ayushman rate list 2026,87,304,28.62%,2.7
ayushman card surgery list,73,801,9.11%,3.33
ayushman bharat rate list 2026,68,203,33.5%,1.72
ayushman bharat surgery list,53,819,6.47%,4.13
hope hospital nagpur contact number,53,173,30.64%,1.01
ayushman bharat package list pdf,47,1393,3.37%,6.49
ayushman bharat package list pdf 2026 maharashtra,45,185,24.32%,2.15
ayushman bharat package list pdf 2026 west bengal,39,313,12.46%,2.91
ayushman package list 2026 pdf download,35,128,27.34%,2.27
hope hospital,30,3270,0.92%,9.91
pmjay package list,28,544,5.15%,4.88
mjpjay package list,28,470,5.96%,5.94
pmjay package list maharashtra,28,122,22.95%,2.89
pmjay new list 2026,26,415,6.27%,4.06
ayushman bharat package list,24,343,7%,5.59
hope multispeciality hospital nagpur,23,74,31.08%,1.01
hope hospital teka naka nagpur,22,135,16.3%,1.08
ayushman bharat west bengal,21,634,3.31%,3.77
ayushman card package list,21,405,5.19%,5.46
pmjay surgery list,21,185,11.35%,2.87
ayushman package list,20,1567,1.28%,7.31
ayushman bharat package list pdf download,19,731,2.6%,8.02
ayushman card operation list,19,484,3.93%,4.73
ayushman bharat surgery rate list,19,314,6.05%,2.68
ayushman bharat package rate list,18,390,4.62%,4.92
pmjay rate list,16,136,11.76%,4.18
pmjay surgery package list,16,77,20.78%,3.48
ayushman bharat rate list,15,185,8.11%,5.65
ayushman rate list,15,177,8.47%,5.2
pmjay new list 2026 pdf download,13,102,12.75%,3.42
latest ayushman package list,12,349,3.44%,5.9
dr nikhil khobragade nagpur,12,164,7.32%,3.67
ayushman bharat surgery package list,12,143,8.39%,4.48
pmjay procedure list,12,66,18.18%,3.74
ayushman card hospital list nagpur,11,303,3.63%,6.17
ayushman bharat hospital list nagpur,11,208,5.29%,6.07
pmjay package list pdf,11,187,5.88%,6.25
pmjay,10,318,3.14%,4.97
ayushman bharat orthopedic package list,10,108,9.26%,5.67
pm jay package list,10,70,14.29%,4.4
ayushman bharat package list pdf 2026 uttar pradesh,9,286,3.15%,5.47
pmjay package rate list,9,140,6.43%,4.07
pmjay orthopedic package list,9,70,12.86%,4.47
ayushman package master 2026,9,34,26.47%,1.91
nephrologist in nagpur,8,1038,0.77%,7.99
list of diseases covered under ayushman bharat pdf,8,668,1.2%,9.87
ayushman bharat package,8,223,3.59%,7.39
mjpjay surgery list pdf,8,209,3.83%,3.35
mjpjay package list pdf,8,172,4.65%,6.71
ayushman hospital nagpur list,8,115,6.96%,6.21
ayushman card hospital list in nagpur 2026,8,114,7.02%,2.05
mjpjay package list new,8,108,7.41%,4.25
laparoscopic surgery covered in ayushman card,8,63,12.7%,1.57
ayushman card,7,350,2%,4.13
आयुष्मान कार्ड हॉस्पिटल लिस्ट नागपुर महाराष्ट्र,7,224,3.12%,6.42
is knee replacement covered in ayushman card,7,172,4.07%,4.63
pmjay package list gujarat,7,127,5.51%,6.67
hernia operation in ayushman card,7,116,6.03%,3.79
ayushman bharat cataract surgery package,7,114,6.14%,4.13
nagpur ayushman hospital list,7,58,12.07%,5.71
mjpjay new package list 2026 pdf download,7,54,12.96%,1.81
ayushman package,6,664,0.9%,8.16
pmjay code list,6,333,1.8%,6.66
नागपुर में आयुष्मान कार्ड हॉस्पिटल लिस्ट,6,253,2.37%,6.62
ayushman ortho package list,6,196,3.06%,6.53
ayushman card nagpur hospital list,6,183,3.28%,5.42
nagpur ayushman card hospital list,6,158,3.8%,4.85
ayushman card hospital list nagpur pdf,6,146,4.11%,9.66
ayushman bharat operation list,6,122,4.92%,2.95
pmjay covered diseases list,6,102,5.88%,5.93
list of diseases covered under ayushman bharat pdf maharashtra,6,93,6.45%,5.43
pmjay packages,6,77,7.79%,6.25
hernia surgery cost in government hospital,6,50,12%,2.38
angioplasty cost in ayushman card,6,36,16.67%,3.06
ayushman bharat package list pdf 2026 gujarat,6,32,18.75%,3.16
ayushman bharat nagpur hospital list,6,29,20.69%,4.62
ayushman card treatment list,5,607,0.82%,8.08
ayushman card bimari list pdf,5,589,0.85%,9.28
ayushman bharat treatment list,5,250,2%,7.52
आयुष्मान हॉस्पिटल नागपुर,5,214,2.34%,7.03
ayushman card knee replacement,5,194,2.58%,5.3
piles operation in ayushman card,5,189,2.65%,4.45
appendix operation in ayushman card,5,174,2.87%,6.75
mjpjay hospital list nagpur,5,166,3.01%,4.92
knee replacement in ayushman card,5,165,3.03%,6.3
knee replacement surgery cost in ayushman card,5,141,3.55%,4.13
ayushman bharat package list pdf mp,5,133,3.76%,6.01
ayushman bharat package list pdf odisha,5,95,5.26%,6.67
ayushman card hospital in nagpur,5,92,5.43%,5.3
dialysis package in ayushman bharat,5,78,6.41%,4.4
ayushman card heart hospital list in nagpur,5,78,6.41%,5.53
ayushman surgery list,5,70,7.14%,4.24
ayushman bharat package list pdf maharashtra,5,64,7.81%,4.7
ayushman procedure list,5,62,8.06%,4.85
ayushman bharat package list pdf 2026 bihar,5,59,8.47%,2.98
ayushman new list 2026,5,57,8.77%,4.44
ayushman bharat ophthalmology package list,5,56,8.93%,7.04
hip replacement surgery cost in government hospital,5,55,9.09%,3.49
laparoscopic surgery ayushman card,5,51,9.8%,2.33
knee replacement surgery cost in govt hospital,5,44,11.36%,2.39
list of surgery in ayushman card,5,35,14.29%,2.43
pmjay packages list,5,33,15.15%,5.55
laparoscopic surgery under ayushman bharat scheme,5,30,16.67%,1.43
ayushman bharat west bengal package list,5,23,21.74%,2.83
pmjay list of surgery,5,15,33.33%,1.27
pmjay hospital list nagpur,4,439,0.91%,8.1
ayushman card cover treatment list,4,378,1.06%,7.49
ayushman package code list,4,264,1.52%,8.86
ayushman code list,4,248,1.61%,8.6
kidney stone operation in ayushman card,4,202,1.98%,6.13
ayushman card hospital list,4,198,2.02%,6.54
pmjay 2026 list,4,191,2.09%,4.75
hope hospital contact number,4,187,2.14%,7.71
ayushman card knee replacement age limit,4,175,2.29%,5.45
आयुष्मान कार्ड हॉस्पिटल लिस्ट nagpur,4,119,3.36%,6.61
is angioplasty covered in ayushman card,4,110,3.64%,3.3
dr dhiraj gupta,4,102,3.92%,4.66
list of diseases covered under ayushman bharat,4,93,4.3%,6.33
nikhil khobragade nagpur,4,92,4.35%,3.68
ayushman bharat knee replacement package,4,85,4.71%,3.66
hospital in nagpur,4,85,4.71%,31.86
package master pmjay,4,79,5.06%,6.47
ayushman card hospital nagpur,4,69,5.8%,6.61
ayushman card package,4,59,6.78%,7.12
angioplasty package in ayushman bharat,4,58,6.9%,3.21
hospitals in nagpur,4,57,7.02%,46.4
rirs surgery in ayushman card,4,56,7.14%,3.82
ayushman bharat card surgery list,4,55,7.27%,4.24
ayushman bharat package list pdf 2025,4,43,9.3%,7.79
hope hospital nagpur address,4,42,9.52%,1.05
list of hospital under ayushman card in nagpur,4,36,11.11%,4.47
ayushman package list mp,4,35,11.43%,5.14
ma amrutam card surgery list,4,31,12.9%,2.23
heart valve replacement surgery cost in government hospital,4,25,16%,2.16
best nephrologist in nagpur,3,1005,0.3%,8.02
best kidney specialist hospital in nagpur,3,434,0.69%,7.08
hope multispeciality hospital,3,190,1.58%,6.52
dr nikhil khobragade,3,149,2.01%,3.92
pmjay treatment list,3,145,2.07%,7.05
नागपुर किडनी स्पेशलिस्ट डॉक्टर,3,142,2.11%,7.85
does ayushman card cover knee replacement,3,138,2.17%,6.04
mjpjay disease list pdf,3,130,2.31%,9.48
ha,3,119,2.52%,3.22
ayushman card cataract surgery cost,3,117,2.56%,7.88
ayushman treatment list,3,112,2.68%,6.77
mjpjay scheme package list,3,96,3.12%,8.21
nikhil khobragade,3,94,3.19%,4.94
cataract surgery in ayushman card,3,93,3.23%,8.49
hip replacement surgery in ayushman card,3,88,3.41%,5.62
package list of ayushman bharat,3,79,3.8%,7.9
knee replacement surgery cost in nagpur,3,77,3.9%,7.25
ayushman card hospital list mumbai,3,76,3.95%,3
pacemaker in ayushman card,3,72,4.17%,8.9
ayushman bharat dialysis rate,3,71,4.23%,6.61
ayushman bharat card package list,3,68,4.41%,5.32
treatment covered under ayushman card,3,65,4.62%,7.62
disease covered under ayushman card,3,63,4.76%,7.16
knee replacement surgery ayushman card,3,62,4.84%,6.15
ayushman card package list odisha,3,56,5.36%,4.8
pmjay package,3,52,5.77%,4.83
prostate operation in ayushman card hospital list,3,52,5.77%,5.54
ayushman hospital list in nagpur,3,47,6.38%,4.45
ayushman bharat package list pdf 22 download,3,45,6.67%,7.09
cataract surgery cost in ayushman card,3,41,7.32%,7.32
